Time (t),State Variable (Y_t),Reference State (Y_ref),Error (E_t),Change in Error (ΔE_t),Fuzzy Error Category,Fuzzy ΔE Category,Control Action (V_f),Updated State (Y_t+1),"Lyapunov Function (V(Y,w))"
26,7.446539514749052,5.998368910791799,-1.4481706039572533,-1.5513137373273977,Negative Small,Negative Large,0.1,7.5465395147490515,1.0535990490829577
27,8.94936978620834,7.571172192068058,-1.378197594140282,0.0699730098169713,Negative Small,Zero,0.1,9.04936978620834,0.9547143042470307
28,7.2384747372832345,7.962072844310212,0.7235981070269775,2.1017957011672594,Positive Small,Positive Large,0.1,7.338474737283234,0.2667971102465126
29,6.547913960202697,5.232252063599988,-1.315661896602709,-2.0392600036296864,Negative Small,Negative Large,0.1,6.647913960202697,0.8704831130861186
30,6.185754798369162,8.037724259507192,1.8519694611380295,3.1676313577407385,Positive Large,Positive Large,-0.6,5.585754798369162,1.8948954424939417
31,6.23770013236467,5.8526206184364575,-0.38507951392821216,-2.2370489750662417,Zero,Negative Large,0.1,6.337700132364669,0.07914311602359407
32,4.245293314077209,5.325257964926397,1.0799646508491882,1.4650441647774004,Positive Small,Positive Large,0.1,4.3452933140772085,0.5881618235419045
33,8.226695229375782,9.744427686266667,1.5177324568908848,0.4377678060416965,Positive Large,Positive Small,0.1,8.326695229375781,1.1567559053500205
34,8.135972971889633,9.828160165372797,1.6921871934831643,0.1744547365922795,Positive Large,Zero,0.1,8.235972971889632,1.436748748894214
35,9.827141844094864,9.041986740582306,-0.7851551035125581,-2.4773422969957224,Negative Small,Negative Large,0.1,9.927141844094864,0.31323426828590795
36,5.882568700939117,6.523068845866853,0.6405001449277359,1.425655248440294,Positive Small,Positive Large,0.1,5.982568700939117,0.21012021782622534
37,6.387427656146965,5.48836057003192,-0.8990670861150454,-1.5395672310427813,Negative Small,Negative Large,0.1,6.487427656146965,0.4091608126676992
38,6.682590495756553,8.421165132560784,1.7385746368042305,2.637641722919276,Positive Large,Positive Large,-0.6,6.082590495756554,1.6913208838694809
39,6.4619238200204485,7.200762468698007,0.7388386486775582,-0.9997359881266723,Positive Small,Negative Small,0.4,6.861923820020449,0.3529412743898402
40,5.768156343725243,5.610191174223894,-0.15796516950134887,-0.8968038181789071,Zero,Negative Small,0.1,5.868156343725243,0.017476497387794943
41,8.638777209912206,7.475884550556351,-1.1628926593558546,-1.0049274898545058,Negative Small,Negative Large,0.1,8.738777209912206,0.6811596685918658
42,4.446952617304372,5.171942605576092,0.7249899882717203,1.887882647627575,Positive Small,Positive Large,0.1,4.546952617304371,0.2678052415471146
43,10.050167516141947,9.546602010393912,-0.5035655057480355,-1.2285554940197558,Negative Small,Negative Large,0.1,10.150167516141947,0.13178910928963739
44,7.837810900944833,6.293899908000085,-1.543910992944748,-1.0403454871967126,Negative Large,Negative Large,0.1,7.937810900944832,1.196830577067819
45,8.776064174499128,8.31261142176991,-0.4634527527292178,1.0804582402155303,Zero,Positive Large,0.1,8.876064174499128,0.11239422700614476
46,5.490393279461591,6.558555380447055,1.0681621009854645,1.5316148537146823,Positive Small,Positive Large,0.1,5.5903932794615905,0.5754851369908408
47,5.697943232115206,7.600340105889054,1.9023968737738484,0.8342347727883839,Positive Large,Positive Small,0.1,5.797943232115205,1.8145569326722557
48,9.213946892320118,7.733551396716399,-1.4803954956037195,-3.382792369377568,Negative Small,Negative Large,0.1,9.313946892320118,1.1007854117018911
49,4.009349921029184,5.924272277627635,1.914922356598451,3.3953178522021705,Positive Large,Positive Large,-0.6,3.4093499210291838,2.0134638159002827
50,11.34672982955959,9.847923138822793,-1.4988066907367976,-3.4137290473352486,Negative Small,Negative Large,0.1,11.44672982955959,1.1282107480986951
51,8.991412652914422,8.875664116805574,-0.11574853610884794,1.3830581546279497,Zero,Positive Large,0.1,9.091412652914421,0.01169886180567064
52,11.45376550187253,9.697494707820946,-1.7562707940515843,-1.6405222579427363,Negative Large,Negative Large,0.1,11.55376550187253,1.547243551019291
53,10.669269695232904,9.474136752138243,-1.1951329430946611,0.5611378509569231,Negative Small,Positive Small,0.1,10.769269695232904,0.7191713758350532
54,9.981236336188775,7.989499894055426,-1.9917364421333499,-0.7966034990386888,Negative Large,Negative Small,0.1,10.081236336188775,1.9885070274610075
55,9.012218436922424,9.609371175115584,0.5971527381931594,2.5888891803265093,Positive Small,Positive Large,0.1,9.112218436922424,0.183295696365794
56,6.511215665984105,5.442462510259597,-1.068753155724508,-1.6659058939176674,Negative Small,Negative Large,0.1,6.611215665984105,0.5761166539355472
57,5.587637966532695,5.979914312095726,0.39227634556303137,1.4610295012875394,Zero,Positive Large,0.1,5.687637966532694,0.0819403656441434
58,5.145638925768326,5.22613644455269,0.08049751878436417,-0.3117788267786672,Zero,Negative Small,0.1,5.245638925768326,0.008239925265219532
59,7.136673506689802,6.626651653816322,-0.5100218528734803,-0.5905193716578445,Negative Small,Negative Small,0.1,7.236673506689802,0.13506114520424903
60,8.438094905192765,6.94338644844741,-1.4947084567453546,-0.9846866038718742,Negative Small,Negative Small,0.1,8.538094905192764,1.1220766853330397
61,8.29307903566666,6.356745158869479,-1.93633387679718,-0.4416254200518255,Negative Large,Negative Small,0.1,8.39307903566666,1.8796944412161982
62,10.21678120121772,9.143687545759647,-1.0730936554580737,0.8632402213391064,Negative Small,Positive Small,0.1,10.31678120121772,0.5807649966921855
63,6.454833762137282,6.7837666334679465,0.3289328713306645,1.4020265267887382,Zero,Positive Large,0.1,6.554833762137282,0.059098416920917746
64,6.090100557545185,6.404672548436904,0.31457199089171883,-0.014360880438945678,Zero,Zero,0.1,6.190100557545184,0.05447776872678982
65,8.663809622146807,7.713480415791242,-0.9503292063555655,-1.2649011972472843,Negative Small,Negative Large,0.1,8.763809622146807,0.4565628002261995
66,4.659729707947022,5.704621124873813,1.0448914169267907,1.9952206232823562,Positive Small,Positive Large,0.1,4.759729707947022,0.5508990365836381
67,7.452881356295777,9.010984903770199,1.5581035474744214,0.5132121305476307,Positive Large,Positive Small,0.1,7.552881356295777,1.218843332326188
68,4.79124184896196,5.372753218398854,0.5815113694368943,-0.9765921780375271,Positive Small,Negative Small,0.4,5.19124184896196,0.2490777363921861
69,9.083390649618913,9.934434683002586,0.8510440333836726,0.26953266394677833,Positive Small,Zero,0.1,9.183390649618913,0.36713797337897486
70,8.046456328307247,8.861223846483288,0.8147675181760405,-0.03627651520763209,Positive Small,Zero,0.1,8.146456328307247,0.3369230543373723
71,4.928009411870502,5.993578407670862,1.0655689958003602,0.2508014776243197,Positive Small,Zero,0.1,5.028009411870501,0.5727186424054941
72,3.1959833441634595,5.027610585618012,1.8316272414545525,0.7660582456541922,Positive Large,Positive Small,0.1,3.2959833441634596,1.6824291758192067
73,7.148802881207826,9.07730714227417,1.9285042610663448,0.09687701961179229,Positive Large,Zero,0.1,7.248802881207825,1.864564342475524
74,10.485176278182212,8.534286719238086,-1.9508895589441266,-3.8793938200104714,Negative Large,Negative Large,0.1,10.585176278182212,1.9079850355986043
75,8.356128375148387,8.645035840204937,0.28890746505654974,2.2397970240006764,Zero,Positive Large,0.1,8.456128375148387,0.046733761682700756
76,8.393658322068456,8.85635173342973,0.46269341136127373,0.173785946304724,Zero,Zero,0.1,8.493658322068455,0.11204259645856644
77,6.088812389442731,5.3702232586704515,-0.7185891307722798,-1.1812825421335535,Negative Small,Negative Large,0.1,6.188812389442731,0.26318516943203035
78,5.66534419418162,6.792328642721364,1.1269844485397433,1.8455735793120231,Positive Small,Positive Large,0.1,5.76534419418162,0.6400469736252147
79,7.37919003342655,5.579345297625649,-1.7998447358009013,-2.9268291843406447,Negative Large,Negative Large,0.1,7.4791900334265495,1.624720536495108
80,10.460897187040176,9.315517129377968,-1.1453800576622086,0.6544646781386927,Negative Small,Positive Small,0.1,10.560897187040176,0.6609477382451422
81,6.474134643386828,8.11649063413779,1.6423559907509624,2.787736048413171,Positive Large,Positive Large,-0.6,5.874134643386828,1.5286666001777875
82,6.324813227402959,6.654490124263246,0.32967689686028656,-1.3126790938906758,Zero,Negative Large,0.1,6.424813227402959,0.05934342816171401
83,6.834264981678777,5.317791751430118,-1.5164732302486588,-1.8461501271089453,Negative Large,Negative Large,0.1,6.934264981678776,1.1548455290304007
84,8.333839697743953,6.554911608578311,-1.7789280891656416,-0.26245485891698284,Negative Large,Zero,0.1,8.433839697743952,1.5872925732112604
85,6.495522655133215,6.625916610133736,0.1303939550005211,1.9093220441661627,Zero,Positive Large,0.1,6.595522655133214,0.01350129175033896
86,9.101676448533151,8.64803089169032,-0.45364555684283125,-0.5840395118433523,Zero,Negative Small,0.1,9.201676448533151,0.10789714562162123
87,6.855923141144368,8.187787356776067,1.3318642156316987,1.78550977247453,Positive Small,Positive Large,0.1,6.955923141144368,0.89193114444012
88,11.40073821742954,9.436063712881634,-1.9646745045479062,-3.296538720179605,Negative Large,Negative Large,0.1,11.50073821742954,1.93497295441028
89,6.287761431343521,7.361074625809747,1.073313194466226,3.037987699014132,Positive Small,Positive Large,0.1,6.38776143134352,0.5810006067076473
90,7.368898326232012,5.597971229691509,-1.770927096540503,-2.844240291006729,Negative Large,Negative Large,0.1,7.468898326232011,1.573091390630688
91,9.164810532084449,8.566223936114975,-0.5985865959694738,1.1723405005710292,Negative Small,Positive Large,0.1,9.264810532084448,0.18415295643716106
92,9.234872422599924,8.803925243084487,-0.43094717951543693,0.1676394164540369,Zero,Zero,0.1,9.334872422599924,0.09785773576615511
93,7.857140031913515,7.806385987847481,-0.0507540440660339,0.38019313544940303,Zero,Positive Small,0.1,7.957140031913514,0.006287986494528456
94,7.7775151466438395,8.854835899772805,1.0773207531289657,1.1280747971949996,Positive Small,Positive Large,0.1,7.877515146643839,0.5853100025611809
95,6.175090109843987,7.468977981821954,1.293887871977967,0.21656711884900126,Positive Small,Zero,0.1,6.275090109843987,0.842072912625836
96,6.495608983190672,7.61366414690997,1.1180551637192986,-0.17583270825866837,Positive Small,Zero,0.1,6.5956089831906715,0.6300236745596938
97,5.8834581403697666,7.137705091792748,1.2542469514229815,0.1361917877036829,Positive Small,Zero,0.1,5.983458140369766,0.7915677075769214
98,6.245433527987489,5.127095633720476,-1.1183378942670128,-2.3725848456899943,Negative Small,Negative Large,0.1,6.345433527987488,0.6303398228767881
99,4.939958171633442,5.539457134966522,0.5994989633330796,1.7178368576000924,Positive Small,Positive Large,0.1,5.039958171633442,0.18469950351871858
100,3.3885166346872566,5.157145928433671,1.7686292937464145,1.169130330413335,Positive Large,Positive Large,-0.6,2.7885166346872565,1.7440247893489704
101,10.058462576882148,8.182052056318902,-1.8764105205632458,-3.6450398143096603,Negative Large,Negative Large,0.1,10.158462576882147,1.7654582208402154
102,8.106923445235337,6.571779905381634,-1.5351435398537028,0.341266980709543,Negative Large,Positive Small,0.1,8.206923445235336,1.1833328439772786
103,9.253862588604367,7.542853455823514,-1.7110091327808528,-0.17586559292714998,Negative Large,Zero,0.1,9.353862588604366,1.4687761262297427
104,11.517463660216206,9.537832369630465,-1.9796312905857416,-0.26862215780488885,Negative Large,Zero,0.1,11.617463660216206,1.9644700233330843
105,4.9420421426223236,6.246461145744375,1.3044190031220513,3.284050293707793,Positive Small,Positive Large,0.1,5.042042142622323,0.855754467852963
106,6.6368826907887835,7.051914615178148,0.415031924389365,-0.8893870787326863,Zero,Negative Small,0.1,6.736882690788783,0.09112574913116979
107,9.810709595531607,8.777755692715242,-1.0329539028163648,-1.4479858272057298,Negative Small,Negative Large,0.1,9.910709595531607,0.53849688267178
108,6.928073299673281,6.143990827458112,-0.7840824722151689,0.24887143060119588,Negative Small,Zero,0.1,7.028073299673281,0.31239266161752555
109,4.000483174503385,5.384899549143965,1.3844163746405798,2.1684988468557487,Positive Small,Positive Large,0.1,4.100483174503385,0.963304349186483
110,7.712089764531312,6.44875726456884,-1.2633324999624715,-2.6477488746030513,Negative Small,Negative Large,0.1,7.812089764531311,0.8030045027307141
111,4.703868723616665,5.8061064362700225,1.1022377126533573,2.365570212615829,Positive Small,Positive Large,0.1,4.803868723616665,0.6124639875976526
112,8.543758721003357,9.648488261712865,1.1047295407095081,0.00249182805615078,Positive Small,Zero,0.1,8.643758721003357,0.6152136790581204
113,9.18849958939574,9.040601897822086,-0.14789769157365384,-1.252627232283162,Zero,Negative Large,0.1,9.28849958939574,0.01593686358640782
114,8.53877852191893,8.167018782552118,-0.37175973936681217,-0.22386204779315833,Zero,Zero,0.1,8.63877852191893,0.07410265190704006
115,9.677647782289833,9.357302950938589,-0.32034483135124425,0.05141490801556792,Zero,Zero,0.1,9.777647782289833,0.05631040548672857
116,7.384307734086592,9.018360384495573,1.6340526504089805,1.9543974817602248,Positive Large,Positive Large,-0.6,6.7843077340865925,1.515064032154307
117,7.4426937449517006,5.932850294430179,-1.5098434505215215,-3.143896100930502,Negative Large,Negative Large,0.1,7.5426937449517,1.144813622541367
118,8.525195162804714,9.46279499244989,0.9375998296451762,2.4474432801666977,Positive Small,Positive Large,0.1,8.625195162804713,0.4445467202753317
119,6.214770894709471,7.696711209578254,1.4819403148687833,0.5443404852236071,Positive Small,Positive Small,0.1,6.31477089470947,1.1030735484166942
120,10.592193095296222,9.037200775820313,-1.5549923194759092,-3.0369326343446925,Negative Large,Negative Large,0.1,10.692193095296222,1.214000556814534
121,11.30306249253648,9.480456499617466,-1.822605992919014,-0.2676136734431047,Negative Large,Zero,0.1,11.40306249253648,1.6659463027121522
122,8.038527843921122,6.590017374859319,-1.4485104690618025,0.37409552385721145,Negative Small,Positive Small,0.1,8.138527843921121,1.0540912894908214
123,6.788323921537897,5.550259622638384,-1.2380642988995127,0.21044617016228973,Negative Small,Zero,0.1,6.888323921537896,0.771401604104771
124,6.760643735265795,6.139675812709708,-0.6209679225560869,0.6170963763434258,Negative Small,Positive Small,0.1,6.8606437352657945,0.19780058042181117
125,7.338968425567839,7.135538943131282,-0.20342948243655723,0.4175384401195297,Zero,Positive Small,0.1,7.438968425567839,0.025691777162202774
126,7.438020869258105,9.090073829612464,1.652052960354359,1.8554824427909162,Positive Large,Positive Large,-0.6,6.838020869258106,1.5446394919078006
127,8.937465768564511,9.303652916281717,0.3661871477172056,-1.2858658126371534,Zero,Negative Large,0.1,9.03746576856451,0.07204651357663129
128,4.5255147207052095,5.034760652655954,0.5092459319507441,0.14305878423353846,Positive Small,Zero,0.1,4.625514720705209,0.13466570960419094
129,6.592751647929134,7.553736512887829,0.9609848649586947,0.45173893300795065,Positive Small,Positive Small,0.1,6.692751647929134,0.46674595533984037
130,7.980735470498234,7.0870550157438945,-0.8936804547543398,-1.8546653197130345,Negative Small,Negative Large,0.1,8.080735470498235,0.40433237760496177
131,6.094041992668735,6.110539052353651,0.01649705968491677,0.9101775144392565,Zero,Positive Small,0.1,6.194041992668734,0.005136076489123854
132,3.923511700299006,5.599326836668414,1.6758151363694083,1.6593180766844915,Positive Large,Positive Large,-0.6,3.3235117002990058,1.584178185642409
133,5.568808664817385,6.68807585701814,1.1192671922007547,-0.5565479441686536,Positive Small,Negative Small,0.4,5.968808664817385,0.7063795237684805
134,10.44758357420098,9.714548519562596,-0.7330350546383837,-1.8523022468391384,Negative Small,Negative Large,0.1,10.54758357420098,0.2736701956643491
135,4.920538098064977,6.616014660103776,1.6954765620387988,2.4285116166771825,Positive Large,Positive Large,-0.6,4.3205380980649775,1.6173203862114522
136,8.998780764911904,7.59395310871683,-1.4048276561950743,-3.100304218233873,Negative Small,Negative Large,0.1,9.098780764911904,0.9917703718052729
137,8.495680902531786,8.515094794475889,0.0194138919441027,1.424241548139177,Zero,Positive Large,0.1,8.595680902531786,0.005188449600208649
138,6.740494321203062,6.81814801189647,0.077653690693408,0.058239798749305294,Zero,Zero,0.1,6.840494321203062,0.00801504783915374
139,10.228541552242874,9.858910413604804,-0.36963113863806996,-0.44728482933147795,Zero,Negative Small,0.1,10.328541552242873,0.07331358932543805
140,11.110960338411152,9.812236474710556,-1.2987238637005962,-0.9290927250625263,Negative Small,Negative Small,0.1,11.210960338411152,0.8483418370727024
141,5.650148310735593,6.258911479126821,0.6087631683912278,1.907487032091824,Positive Small,Positive Large,0.1,5.750148310735593,0.1902962975948632
142,8.198307139698182,7.4862425294619275,-0.7120646102362542,-1.320827778627482,Negative Small,Negative Large,0.1,8.298307139698181,0.2585180045754543
143,6.767319405067013,6.504391549083849,-0.2629278559831647,0.4491367542530895,Zero,Positive Small,0.1,6.867319405067013,0.0395655287259519
144,5.492315552565024,6.424202471887338,0.9318869193223147,1.1948147753054794,Positive Small,Positive Large,0.1,5.592315552565023,0.43920661520201715
145,6.698954682193296,5.184434736772664,-1.5145199454206324,-2.446406864742947,Negative Large,Negative Large,0.1,6.798954682193296,1.1518853325384575
146,9.237525756327196,8.047821669899484,-1.189704086427712,0.3248158589929204,Negative Small,Positive Small,0.1,9.337525756327196,0.7126979066313984
147,8.147202454778009,7.5133951161443076,-0.6338073386337015,0.5558967477940104,Negative Small,Positive Small,0.1,8.247202454778009,0.2058558712529678
148,6.659720672626914,5.257393756249947,-1.4023269163769676,-0.7685195777432661,Negative Small,Negative Small,0.1,6.759720672626914,0.9882603901976673
149,7.862409125022267,6.393232321183057,-1.4691768038392095,-0.06684988746224185,Negative Small,Zero,0.1,7.962409125022266,1.0842402404695974
150,10.374781336693408,9.541329429833269,-0.8334519068601391,0.6357248969790703,Negative Small,Positive Small,0.1,10.474781336693407,0.35232104052440105
151,7.545862766789551,6.197809453334862,-1.3480533134546882,-0.514601406594549,Negative Small,Negative Small,0.1,7.64586276678955,0.9136238679580818
152,6.51436020713325,5.7244743604561155,-0.7898858466771346,0.5581674667775536,Negative Small,Positive Small,0.1,6.61436020713325,0.3169598253904269
153,8.167826888429017,7.447263801387815,-0.7205630870412021,0.06932275963593248,Negative Small,Zero,0.1,8.267826888429017,0.2646055812031735
154,10.402697783413739,9.928252270553003,-0.47444551286073633,0.24611757418046576,Zero,Zero,0.1,10.502697783413739,0.11754927233684356
155,7.221142915788067,6.210276357557502,-1.010866558230565,-0.5364210453698286,Negative Small,Negative Small,0.1,7.321142915788067,0.515925599274454
156,6.995098158201688,8.360677737029393,1.3655795788277052,2.37644613705827,Positive Small,Positive Large,0.1,7.095098158201687,0.9374037930556264
157,10.331581113439302,8.808098076643589,-1.5234830367957137,-2.889062615623419,Negative Large,Negative Large,0.1,10.431581113439302,1.165500281702145
158,7.675561830942927,6.188187719961999,-1.4873741109809284,0.03610892581478531,Negative Small,Zero,0.1,7.775561830942927,1.1111408730081536
159,6.758070875197534,8.641081743059297,1.8830108678617634,3.370384978842692,Positive Large,Positive Large,-0.6,6.158070875197534,1.9528649642427556
160,8.142182665855316,6.838915663596266,-1.3032670022590498,-3.186277870120813,Negative Small,Negative Large,0.1,8.242182665855315,0.854252439588645
161,6.6770086228616785,8.161529152967898,1.4845205301062192,2.787787532365269,Positive Small,Positive Large,0.1,6.777008622861678,1.106900602153425
162,7.508123970841042,8.167648553804474,0.6595245829634324,-0.8249959471427868,Positive Small,Negative Small,0.4,7.908123970841042,0.29748633776654476
163,8.652906445540223,7.678873420373792,-0.9740330251664311,-1.6335576081298635,Negative Small,Negative Large,0.1,8.752906445540223,0.4793701670574347
164,4.0944884344652746,5.451448850272041,1.3569604158067667,2.330993440973198,Positive Small,Positive Large,0.1,4.194488434465274,0.9256707850332366
165,10.448380574422439,9.17651247794619,-1.2718680964762488,-2.6288285122830155,Negative Small,Negative Large,0.1,10.548380574422438,0.8138242274170582
166,7.932437036689647,6.603900324858679,-1.328536711830968,-0.05666861535471934,Negative Small,Zero,0.1,8.032437036689647,0.8875048973413204
167,5.962463487042616,5.932592551999271,-0.029870935043344815,1.2986657767876233,Zero,Positive Large,0.1,6.062463487042615,0.005446136380181863
168,3.2294191946411543,5.20387570777382,1.9744565131326657,2.0043274481760105,Positive Large,Positive Large,-0.6,2.6294191946411543,2.1292392611260023
169,7.10261724864086,7.954464715941209,0.8518474673003489,-1.1226090458323168,Positive Small,Negative Large,0.1,7.20261724864086,0.36782205377300947
170,8.855529482714381,8.387821809211413,-0.46770767350296794,-1.3195551408033168,Zero,Negative Large,0.1,8.95552948271438,0.11437523392677944
171,7.007683856748974,5.082939144639281,-1.9247447121096934,-1.4570370386067255,Negative Large,Negative Large,0.1,7.107683856748974,1.8573211033971133
172,8.087719399563078,7.560465291496405,-0.527254108066673,1.3974906040430204,Negative Small,Positive Large,0.1,8.187719399563077,0.14399844723659147
173,5.171693200246329,6.1324788759896895,0.9607856757433604,1.4880397838100334,Positive Small,Positive Large,0.1,5.271693200246329,0.46655455735681284
174,8.761886764445695,8.225863952047249,-0.5360228123984463,-1.4968084881418067,Negative Small,Negative Large,0.1,8.861886764445694,0.14866022770576998
175,6.031773663888378,5.871832145024957,-0.15994151886342145,0.37608129353502484,Zero,Positive Small,0.1,6.131773663888378,0.017790644728169103
176,9.574070271116906,8.45468869051233,-1.1193815806045748,-0.9594400617411534,Negative Small,Negative Small,0.1,9.674070271116905,0.6315075614983982
177,5.36159928681052,6.933676731502687,1.5720774446921668,2.6914590252967416,Positive Large,Positive Large,-0.6,4.761599286810521,1.4157137460549263
178,10.727761553691785,9.683649943683672,-1.0441116100081125,-2.6161890547002793,Negative Small,Negative Large,0.1,10.827761553691785,0.5500845270768664
179,5.852671035434408,5.687604720729967,-0.16506631470444155,0.8790452953036709,Zero,Positive Small,0.1,5.952671035434408,0.01862344412505287
180,8.55729977068727,6.705331755251293,-1.851968015435978,-1.6869017007315366,Negative Large,Negative Large,0.1,8.65729977068727,1.7198927650989375
181,4.93485627035769,5.567367606202946,0.6325113358452557,2.4844793512812338,Positive Small,Positive Large,0.1,5.03485627035769,0.2050352949863749
182,10.153955663928606,9.623468091392814,-0.530487572535792,-1.1629989083810477,Negative Small,Negative Large,0.1,10.253955663928606,0.14570853230745862
183,11.114809188944974,9.386696766904905,-1.7281124220400699,-1.1976248495042778,Negative Large,Negative Large,0.1,11.214809188944974,1.4981862716045982
184,4.699747050538495,6.289708138575778,1.589961088037283,3.318073510077353,Positive Large,Positive Large,-0.6,4.099747050538495,1.4439881307363502
185,10.0488341791167,8.299920230170894,-1.7489139489458054,-3.3388750369830884,Negative Large,Negative Large,0.1,10.1488341791167,1.5343500004086055
186,9.837653890209333,9.08611100100608,-0.7515428892032538,0.9973710597425516,Negative Small,Positive Small,0.1,9.937653890209333,0.28740835715598717
187,6.047352294417999,7.776004057997312,1.7286517635793128,2.4801946527825667,Positive Large,Positive Large,-0.6,5.447352294418,1.6741184598629342
188,6.852107159567297,7.648252891780032,0.796145732212735,-0.9325060313665778,Positive Small,Negative Small,0.4,7.252107159567298,0.396924013460276
189,7.041949809083385,6.209261454502259,-0.8326883545811263,-1.6288340867938613,Negative Small,Negative Large,0.1,7.141949809083385,0.3516849479275118
190,3.734916244904583,5.465513839029496,1.7305975941249132,2.5632859487060395,Positive Large,Positive Large,-0.6,3.134916244904583,1.677484016395469
191,9.814760630471726,9.486078789766633,-0.32868184070509265,-2.059279434830006,Zero,Negative Large,0.1,9.914760630471726,0.05901587620464395
192,8.88562251362848,9.502090285816653,0.6164677721881731,0.9451496128932657,Positive Small,Positive Small,0.1,8.98562251362848,0.19501625707332462
193,8.649169357436248,8.16550728636634,-0.483662071069908,-1.100129843258081,Zero,Negative Large,0.1,8.749169357436248,0.12196449949581636
194,4.878117090493555,6.6951489552435035,1.8170318647499482,2.300693935819856,Positive Large,Positive Large,-0.6,4.278117090493556,1.8308023987583368
195,8.23219509767281,6.746047873063304,-1.486147224609505,-3.3031790893594533,Negative Small,Negative Large,0.1,8.332195097672809,1.1093167866072673
196,10.523734271060786,8.629778394351197,-1.8939558767095885,-0.40780865210008344,Negative Large,Negative Small,0.1,10.623734271060785,1.798534431461393
197,11.361062720905652,9.485551299762886,-1.8755114211427664,0.01844445556682217,Negative Large,Zero,0.1,11.461062720905652,1.7637715454184795
198,10.434039448297286,9.435432121325587,-0.9986073269716993,0.8769040941710671,Negative Small,Positive Small,0.1,10.534039448297285,0.5036082967407811
